NAME,A (au),PER (days),ECC,STAR,RSTAR (Rsun),MSTAR (Msun),MASS (Mjup)
KOI 2091.01,0.0787,8.77997349,0,KOI 2091,0.764,0.85,0.016192339
KOI 2241.01,0.0765,7.16520428,0,KOI 2241,1.103,1.162,0.018097474
KOI 2325.01,0.0187,1.025857984,0,KOI 2325,0.847,0.828,0.011943753
KOI 2329.01,0.0213,1.615357809,0,KOI 2329,0.486,0.49,0.009364182
KOI 2093.01,0.0641,6.78341325,0,KOI 2093,8.769,0.763,1
KOI 2094.01,0.2274,42.4269647,0,KOI 2094,1.013,0.869,0.03760057
KOI 2167.02,0.0708,6.95787,0,KOI 2167,1.025,0.975,0.009828326
KOI 2169.02,0.0423,3.26662733,0,KOI 2169,0.842,0.944,0.000804986
KOI 2248.01,0.0364,2.81814715,0,KOI 2248,0.787,0.812,0.007849274
KOI 2248.02,0.082,9.4907638,0,KOI 2248,0.746,0.821,0.003744218
KOI 2248.03,0.0152,0.76196247,0,KOI 2248,0.787,0.812,0.004136256
KOI 2332.01,0.0455,3.70063251,0,KOI 2332,1.404,0.915,0.00668317
KOI 2096.01,0.0821,9.76293284,0,KOI 2096,0.816,0.773,0.014625869
KOI 2169.03,0.0506,4.27226421,0,KOI 2169,0.842,0.944,0.000651903
KOI 2169.04,0.0324,2.19251903,0,KOI 2169,0.842,0.944,0.000100898
KOI 2172.01,0.0915,10.44087398,0,KOI 2172,0.981,0.936,0.036847938
KOI 2554.01,0.1827,39.7557642,0,KOI 2554,0.511,0.513,1
KOI 2554.02,0.0741,10.27127527,0,KOI 2554,0.511,0.513,0.002522204
KOI 253.02,0.1228,20.6180348,0,KOI 253,0.576,0.581,0.011943753
KOI 2636.01,0.0488,3.88148385,0,KOI 2636,0.979,1.03,0.000491918
KOI 2411.01,0.0997,11.96407399,0,KOI 2411,0.961,0.922,0.03221044
KOI 2486.01,0.0524,4.267961416,0,KOI 2486,1.237,1.048,0.010551077
KOI 2559.01,0.0866,9.30991834,0,KOI 2559,1.101,0.996,0.006144574
KOI 2560.01,0.1228,18.1209388,0,KOI 2560,0.774,0.75,0.012681493
KOI 2637.01,0.0492,3.98864999,0,KOI 2637,1.188,0.997,0.005153397
KOI 2638.01,0.0344,2.524017517,0,KOI 2638,0.871,0.849,0.011493518
KOI 2639.01,0.1707,25.1123362,0,KOI 2639,1.112,1.049,0.017159639
KOI 2639.02,0.0329,2.121023807,0,KOI 2639,1.112,1.049,0.11554785
KOI 2641.01,0.0445,3.55557922,0,KOI 2641,1.082,0.926,0.00169121
